id,date,text,fav_count,retweet_count,userName,follower_count,location,lang,reaction,positive,negative,neutral
1104665975864074240,Sun Mar 10 08:51:07 +0000 2019,"senator elizabeth warren vowed friday break https://t.co/q13phy2sxo inc, alphabet inc’s google faceboo… https://t.co/hstatnbgsk",0,0,IslamicRofPak,54,Pakistan,en,0.0,0,0,1
1104544605662560256,Sun Mar 10 00:48:50 +0000 2019,techtarget inc. $googl contrasting side side https://t.co/7yg7yyhndy,0,0,thefinreviewer,369,,en,0.0,0,0,1
1104512771058741248,Sat Mar 09 22:42:20 +0000 2019,"quiet launch marks latest development ongoing tie-up alphabet https://t.co/qvkclvhboj, as… https://t.co/qumuaswenk",0,0,Ladas,4590,"London, England",en,0.25,1,0,0
1104512077320937476,Sat Mar 09 22:39:34 +0000 2019,"tuesday alphabet started buy assigned $1,350 price target needham. alphabet inc nasdaq: $googl ·… https://t.co/paso7cuk3d",0,0,ThePitBoss16,1881,In the Pit,en,0.0,0,0,1
1104390980202057728,Sat Mar 09 14:38:22 +0000 2019,alphabet inc $googl expected post earnings $10.55 per share https://t.co/jfbhukkdm7,0,0,ConsumerFeed,4920,"Sioux Falls, SD",en,-0.1,0,1,0
1104353751710789632,Sat Mar 09 12:10:26 +0000 2019,could alphabet inc - class $googl skyrocket? stock many sellers https://t.co/epncgverlv,0,0,bibeypost_stock,268,,en,0.5,1,0,0
1104334775215566848,Sat Mar 09 10:55:02 +0000 2019,alphabet inc (googl) shares bought dimensional fund advisors lp (wayne rhoads/zolmax) https://t.co/o1jgw4uk5z,0,0,TINGoogleNews,85,San Francisco,en,0.0,0,0,1
1104258695574290432,Sat Mar 09 05:52:43 +0000 2019,"mar 08, 2019 – k2 principal fund, lp buys spartan energy acquisition corp, alphabet inc… https://t.co/j3yhbfhppl",0,0,Satelicious,112,Elliptical orbit over the USA,en,0.0,0,0,1
1104255001231126528,Sat Mar 09 05:38:03 +0000 2019,"alphabet’s stockholders vote gender pay gap, diversity…: alphabet inc’s top executives voted several s… https://t.co/lrmu79nl81",0,0,kozhechenkovaa1,3,"Charleston, WV",en,0.25,1,0,0
1104255000799109120,Sat Mar 09 05:38:02 +0000 2019,"alphabet’s stockholders vote gender pay gap, diversity…: alphabet inc’s top executives voted several s… https://t.co/2zqytwpap1",0,0,D_I_S_H_T_V,10,"Detroit, MI",en,0.25,1,0,0
